"FIPS","County","Reporting","Roseanne Barr","Barack Obama","Tom Stevens","Sheila Tittle","Gary Johnson","Gloria La Riva","Jerry White","Stewart Alexander","Tom Hoefling","Virgil Goode","Merlin Miller","Mitt Romney","Jill Stein","James Harris","Rocky Anderson","Jill Reed","Peta Lindsay","Thomas Hoefling"," None of these candidates","Andre Barnett","Barbara Washer","Chuck Baldwin","Will Christensen","Richard Duncan","Jim Carlson","Dean Morstad","Randall Terry","Jeff Boss","Jerry Litzel","Jack Fellure","Total Votes",
"08001","Adams County, CO","100","411","90843","20","87","2125","64","24","25","71","523","29","66531","369","30","100","243","0","0","0","0","0","0","0","0","0","0","0","0","0","0","161495",
"08003","Alamosa County, CO","100","27","3782","0","8","73","3","0","1","1","31","1","2693","24","1","6","20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6671",
"08005","Arapahoe County, CO","100","364","135433","20","66","3005","15","13","17","68","560","13","114232","579","11","93","257","0","0","0","0","0","0","0","0","0","0","0","0","0","0","254746",
"08007","Archuleta County, CO","100","13","2637","1","1","102","0","0","1","2","23","2","3831","23","0","5","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6646",
"08009","Baca County, CO","100","12","462","0","4","27","0","0","0","3","19","1","1554","9","0","2","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2096",
"08011","Bent County, CO","100","9","778","1","1","15","0","2","0","2","8","1","1053","5","0","1","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1881",
"08013","Boulder County, CO","100","193","120485","14","19","2643","9","11","14","17","252","15","48526","824","5","97","83","0","0","0","0","0","0","0","0","0","0","0","0","0","0","173207",
"08014","Broomfield County, CO","100","53","16653","1","6","524","0","1","6","5","76","4","14765","72","2","9","14","0","0","0","0","0","0","0","0","0","0","0","0","0","0","32191",
"08015","Chaffee County, CO","100","32","4967","0","6","151","1","0","1","4","33","2","4949","49","0","7","15","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10217",
"08017","Cheyenne County, CO","100","7","162","0","0","7","0","1","0","0","6","0","858","2","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1045",
"08019","Clear Creek County, CO","100","28","3041","0","0","112","0","0","0","4","13","2","2381","17","0","2","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5610",
"08021","Conejos County, CO","100","4","2180","0","1","14","4","1","1","3","11","0","1794","6","2","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4027",
"08023","Costilla County, CO","100","4","1317","0","2","16","0","0","0","0","14","1","440","3","1","5","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1804",
"08025","Crowley County, CO","100","7","535","0","1","19","0","2","0","0","8","0","924","2","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1502",
"08027","Custer County, CO","100","2","862","0","0","37","0","0","0","0","9","0","1776","10","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2697",
"08029","Delta County, CO","100","37","4542","2","13","156","1","2","4","4","58","7","10762","50","2","10","31","0","0","0","0","0","0","0","0","0","0","0","0","0","0","15681",
"08031","Denver County, CO","100","318","209759","18","43","3740","34","20","55","71","387","16","69755","1023","24","145","156","0","0","0","0","0","0","0","0","0","0","0","0","0","0","285564",
"08033","Dolores County, CO","100","4","329","0","3","22","0","1","0","0","6","0","838","6","0","4","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1218",
"08035","Douglas County, CO","100","125","54093","11","9","1456","3","2","6","24","200","10","93930","205","4","26","56","0","0","0","0","0","0","0","0","0","0","0","0","0","0","150160",
"08037","Eagle County, CO","100","23","12598","1","3","332","3","0","2","4","23","4","9317","50","0","7","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","22374",
"08041","El Paso County, CO","100","618","104989","30","88","3920","31","17","28","94","764","23","163819","731","19","144","289","0","0","0","0","0","0","0","0","0","0","0","0","0","0","275604",
"08039","Elbert County, CO","100","25","3542","2","0","180","2","1","0","8","43","0","10148","23","0","4","15","0","0","0","0","0","0","0","0","0","0","0","0","0","0","13993",
"08043","Fremont County, CO","100","92","6644","2","7","228","1","0","3","4","88","2","13087","56","2","10","32","0","0","0","0","0","0","0","0","0","0","0","0","0","0","20258",
"08045","Garfield County, CO","100","60","10989","1","11","288","2","1","3","1","53","1","12159","99","0","10","17","0","0","0","0","0","0","0","0","0","0","0","0","0","0","23695",
"08047","Gilpin County, CO","100","10","1854","0","1","51","0","0","1","0","8","0","1320","16","0","4","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3271",
"08049","Grand County, CO","100","18","3575","0","2","149","1","0","1","3","23","0","4149","29","0","6","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7961",
"08051","Gunnison County, CO","100","6","4563","0","2","143","0","1","2","0","21","1","3106","53","0","7","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7912",
"08053","Hinsdale County, CO","100","0","228","0","0","7","0","0","0","0","4","0","352","4","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","598",
"08055","Huerfano County, CO","100","15","1897","1","2","46","2","2","1","0","12","0","1615","17","0","6","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3623",
"08057","Jackson County, CO","100","1","216","0","0","14","0","0","0","1","5","0","600","5","0","1","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","848",
"08059","Jefferson County, CO","100","534","153069","29","92","4365","29","32","33","75","598","45","139960","814","20","152","304","0","0","0","0","0","0","0","0","0","0","0","0","0","0","300151",
"08061","Kiowa County, CO","100","3","118","0","3","8","0","0","0","1","3","0","677","2","1","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","821",
"08063","Kit Carson County, CO","100","13","789","0","1","28","1","1","0","2","12","1","2664","1","1","4","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3525",
"08067","La Plata County, CO","100","51","15063","1","9","551","6","2","6","7","55","3","12554","117","3","26","21","0","0","0","0","0","0","0","0","0","0","0","0","0","0","28475",
"08065","Lake County, CO","100","13","1807","0","5","50","0","1","0","0","16","0","1087","10","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2993",
"08069","Larimer County, CO","100","282","83103","12","43","2551","4","6","11","25","409","17","74603","534","6","77","140","0","0","0","0","0","0","0","0","0","0","0","0","0","0","161823",
"08071","Las Animas County, CO","100","20","3282","1","4","67","6","1","0","3","15","1","3105","13","2","8","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6532",
"08073","Lincoln County, CO","100","8","537","0","0","14","1","2","0","1","9","2","1663","4","0","2","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2248",
"08075","Logan County, CO","100","43","2675","2","4","78","0","0","2","7","45","0","6124","15","2","6","27","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9030",
"08077","Mesa County, CO","100","162","22448","7","28","795","6","7","6","16","185","15","45087","154","2","23","92","0","0","0","0","0","0","0","0","0","0","0","0","0","0","69033",
"08079","Mineral County, CO","100","2","291","0","2","6","0","0","0","0","1","0","344","1","0","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","650",
"08081","Moffat County, CO","100","20","1291","1","4","61","1","0","0","0","25","0","4616","11","0","2","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6042",
"08083","Montezuma County, CO","100","28","4486","0","6","194","2","0","4","4","33","3","7372","65","2","6","27","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12232",
"08085","Montrose County, CO","100","56","5852","1","9","191","3","1","3","1","73","1","12789","42","3","6","23","0","0","0","0","0","0","0","0","0","0","0","0","0","0","19054",
"08087","Morgan County, CO","100","43","3761","1","4","99","2","1","1","6","51","0","6461","14","1","7","26","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10478",
"08089","Otero County, CO","100","26","3566","0","6","55","2","1","3","1","36","0","4315","15","3","2","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8039",
"08091","Ouray County, CO","100","5","1640","0","0","37","0","1","0","1","10","0","1470","14","0","2","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3183",
"08093","Park County, CO","100","13","3721","0","4","130","0","0","0","3","48","0","5085","38","0","2","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9054",
"08095","Phillips County, CO","100","9","588","0","0","15","0","0","1","3","4","0","1637","2","0","1","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2265",
"08097","Pitkin County, CO","100","6","6648","3","0","128","0","0","1","1","7","0","2941","35","1","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9779",
"08099","Prowers County, CO","100","16","1498","1","2","47","1","1","1","3","13","2","3200","10","0","2","12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4809",
"08101","Pueblo County, CO","100","243","40624","10","53","689","28","6","16","20","233","8","31023","181","11","39","122","0","0","0","0","0","0","0","0","0","0","0","0","0","0","73306",
"08103","Rio Blanco County, CO","100","9","561","0","1","40","0","0","0","0","15","0","2677","1","0","2","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3311",
"08105","Rio Grande County, CO","100","5","2428","2","4","65","0","0","2","2","25","0","2892","17","1","4","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5453",
"08107","Routt County, CO","100","20","7389","0","3","191","2","0","0","3","18","1","5361","34","2","2","12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","13038",
"08109","Saguache County, CO","100","6","1762","0","2","47","0","0","1","0","10","0","937","17","0","6","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2796",
"08111","San Juan County, CO","100","3","266","0","1","15","0","0","0","0","3","0","212","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","506",
"08113","San Miguel County, CO","100","7","2961","0","1","52","0","0","1","0","12","0","1144","31","1","3","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4215",
"08115","Sedgwick County, CO","100","6","419","0","3","10","0","0","0","2","5","1","881","2","0","2","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1337",
"08117","Summit County, CO","100","21","9169","1","2","255","1","1","2","0","21","0","5495","54","0","5","11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","15038",
"08119","Teller County, CO","100","25","3894","3","4","211","0","1","0","0","40","1","7909","39","1","8","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12144",
"08121","Washington County, CO","100","9","461","1","2","11","0","1","1","2","9","1","2059","1","0","1","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2567",
"08123","Weld County, CO","100","288","47418","9","51","1572","13","5","8","47","469","11","62350","234","11","47","162","0","0","0","0","0","0","0","0","0","0","0","0","0","0","112695",
"08125","Yuma County, CO","100","24","950","1","3","32","0","0","1","2","18","0","3433","5","0","3","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4481",
"11001","District of Columbia, DC","100","0","222332","0","0","1634","0","0","0","0","0","0","17337","2045","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","243348",
"26001","Alcona County, MI","100","0","2462","0","0","0","0","0","0","0","27","0","3571","17","0","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6086",
"26003","Alger County, MI","100","0","2212","0","0","0","0","0","0","0","23","0","2329","34","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4603",
"26005","Allegan County, MI","100","0","19594","0","0","0","0","0","0","0","273","0","29023","247","0","62","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","49199",
"26007","Alpena County, MI","100","0","6549","0","0","0","0","0","0","0","60","0","7298","87","0","20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","14014",
"26009","Antrim County, MI","100","0","5107","0","0","0","0","0","0","0","56","0","7917","88","0","16","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","13184",
"26011","Arenac County, MI","100","0","3669","0","0","0","0","0","0","0","39","0","4054","48","0","16","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7826",
"26013","Baraga County, MI","100","0","1574","0","0","0","0","0","0","0","22","0","1866","21","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3490",
"26015","Barry County, MI","100","0","11496","0","0","0","0","0","0","0","153","0","16651","152","0","31","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","28483",
"26017","Bay County, MI","100","0","26797","0","0","0","0","0","0","0","226","0","23735","267","0","52","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","51077",
"26019","Benzie County, MI","100","0","4683","0","0","0","0","0","0","0","39","0","5071","46","0","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9847",
"26021","Berrien County, MI","100","0","33465","0","0","0","0","0","0","0","243","0","38209","323","0","82","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","72322",
"26023","Branch County, MI","100","0","6526","0","0","0","0","0","0","0","63","0","9575","88","0","26","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","16278",
"26025","Calhoun County, MI","100","0","29270","0","0","0","0","0","0","0","275","0","28338","300","0","48","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","58231",
"26027","Cass County, MI","100","0","9587","0","0","0","0","0","0","0","96","0","12660","93","0","25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","22461",
"26029","Charlevoix County, MI","100","0","5936","0","0","0","0","0","0","0","29","0","7997","81","0","21","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","14064",
"26031","Cheboygan County, MI","100","0","5829","0","0","0","0","0","0","0","75","0","7284","76","0","24","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","13288",
"26033","Chippewa County, MI","100","0","7100","0","0","0","0","0","0","0","83","0","8278","83","0","20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","15564",
"26035","Clare County, MI","100","0","6337","0","0","0","0","0","0","0","79","0","6988","69","0","19","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","13492",
"26037","Clinton County, MI","100","0","18187","0","0","0","0","0","0","0","144","0","20630","124","0","40","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","39125",
"26039","Crawford County, MI","100","0","2994","0","0","0","0","0","0","0","36","0","3744","31","0","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6814",
"26041","Delta County, MI","100","0","8330","0","0","0","0","0","0","0","85","0","9533","76","0","19","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","18043",
