"FIPS","FIPS County","NYT County","Reporting","Donald J. Trump","Hillary Clinton","Gary Johnson","Others","Jill Stein","Darrell Castle","Rocky De La Fuente","Evan McMullin","Lynn S. Kahn","Gloria La Riva","Christopher Robert Keniston","Mike Smith","Michael A. Maturen","Rod Silva","Ryan Alan Scott","Alyson Kennedy","Laurence Kotlikoff","Bradford Lyttle","Frank Atwood","Emidio Soltysik","Scott Copeland","Jerry White","Monica Moorehead","Richard Duncan","Peter Skewes","Rocky Giordani","Total Votes",
"02000","AK","Alaska, AK","99.55","130415","93007","14593","0","4445","3156","972","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","246588",
"01107","Pickens County, AL","Pickens, AL","100.00","5456","3972","49","46","19","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9542",
"01007","Bibb County, AL","Bibb, AL","100.00","6738","1874","124","66","17","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8819",
"01079","Lawrence County, AL","Lawrence, AL","100.00","10833","3627","250","88","31","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","14829",
"01115","St. Clair County, AL","St. Clair, AL","100.00","31651","5589","684","346","130","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","38400",
"01109","Pike County, AL","Pike, AL","100.00","7693","5056","257","114","48","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","13168",
"01091","Marengo County, AL","Marengo, AL","100.00","5233","5615","104","29","13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10994",
"01069","Houston County, AL","Houston, AL","100.00","30728","10664","779","324","144","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","42639",
"01003","Baldwin County, AL","Baldwin, AL","100.00","72883","18458","2464","954","456","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","95215",
"01021","Chilton County, AL","Chilton, AL","100.00","15081","2911","228","97","52","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","18369",
"01075","Lamar County, AL","Lamar, AL","100.00","5823","1036","62","30","15","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6966",
"01133","Winston County, AL","Winston, AL","100.00","9228","872","131","53","29","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10313",
"01057","Fayette County, AL","Fayette, AL","100.00","6712","1362","109","42","24","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8249",
"01053","Escambia County, AL","Escambia, AL","100.00","9935","4605","188","80","37","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","14845",
"01123","Tallapoosa County, AL","Tallapoosa, AL","100.00","13594","5519","233","88","52","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","19486",
"01129","Washington County, AL","Washington, AL","100.00","6042","2374","73","22","22","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8533",
"01049","DeKalb County, AL","DeKalb, AL","100.00","21405","3622","458","189","152","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","25826",
"01095","Marshall County, AL","Marshall, AL","100.00","29233","4917","678","330","158","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","35316",
"01087","Macon County, AL","Macon, AL","100.00","1431","7566","69","25","49","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9140",
"01131","Wilcox County, AL","Wilcox, AL","100.00","1742","4339","22","13","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6123",
"01009","Blount County, AL","Blount, AL","100.00","22859","2156","338","146","89","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","25588",
"01037","Coosa County, AL","Coosa, AL","100.00","3381","1782","53","22","14","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5252",
"01025","Clarke County, AL","Clarke, AL","100.00","7140","5749","99","26","17","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","13031",
"01121","Talladega County, AL","Talladega, AL","100.00","20614","12121","411","155","106","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","33407",
"01059","Franklin County, AL","Franklin, AL","100.00","9466","2197","238","85","54","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12040",
"01011","Bullock County, AL","Bullock, AL","100.00","1140","3530","22","8","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4710",
"01031","Coffee County, AL","Coffee, AL","100.00","15875","4221","396","171","104","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","20767",
"01033","Colbert County, AL","Colbert, AL","100.00","16746","7312","511","239","107","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","24915",
"01071","Jackson County, AL","Jackson, AL","100.00","16672","3673","393","156","90","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","20984",
"01093","Marion County, AL","Marion, AL","100.00","11274","1432","181","71","26","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12984",
"01081","Lee County, AL","Lee, AL","100.00","34617","21230","2030","950","364","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","59191",
